gene_name,index
X,0
TRAV1-1,1
TRAV1-2,2
TRAV2,3
TRAV3,4
TRAV4,5
TRAV5,6
TRAV6,7
TRAV7,8
TRAV8-1,9
TRAV9-1,10
TRAV10,11
TRAV11,12
TRAV12-1,13
TRAV8-2,14
TRAV8-3,15
TRAV13-1,16
TRAV12-2,17
TRAV8-4,18
TRAV8-5,19
TRAV13-2,20
TRAV14/DV4,21
TRAV9-2,22
TRAV15,23
TRAV12-3,24
TRAV8-6,25
TRAV16,26
TRAV17,27
TRAV18,28
TRAV19,29
TRAV20,30
TRAV21,31
TRAV22,32
TRAV23/DV6,33
TRAV24,34
TRAV25,35
TRAV26-1,36
TRAV8-7,37
TRAV27,38
TRAV28,39
TRAV29/DV5,40
TRAV30,41
TRAV31,42
TRAV32,43
TRAV33,44
TRAV26-2,45
TRAV34,46
TRAV35,47
TRAV36/DV7,48
TRAV37,49
TRAV38-1,50
TRAV38-2/DV8,51
TRAV39,52
TRAV40,53
TRAV41,54
TRAJ61,55
TRAJ60,56
TRAJ59,57
TRAJ58,58
TRAJ57,59
TRAJ56,60
TRAJ55,61
TRAJ54,62
TRAJ53,63
TRAJ52,64
TRAJ51,65
TRAJ50,66
TRAJ49,67
TRAJ48,68
TRAJ47,69
TRAJ46,70
TRAJ45,71
TRAJ44,72
TRAJ43,73
TRAJ42,74
TRAJ41,75
TRAJ40,76
TRAJ39,77
TRAJ38,78
TRAJ37,79
TRAJ36,80
TRAJ35,81
TRAJ34,82
TRAJ33,83
TRAJ32,84
TRAJ31,85
TRAJ30,86
TRAJ29,87
TRAJ28,88
TRAJ27,89
TRAJ26,90
TRAJ25,91
TRAJ24,92
TRAJ23,93
TRAJ22,94
TRAJ21,95
TRAJ20,96
TRAJ19,97
TRAJ18,98
TRAJ17,99
TRAJ16,100
TRAJ15,101
TRAJ14,102
TRAJ13,103
TRAJ12,104
TRAJ11,105
TRAJ10,106
TRAJ9,107
TRAJ8,108
TRAJ7,109
TRAJ6,110
TRAJ5,111
TRAJ4,112
TRAJ3,113
TRAJ2,114
TRAJ1,115
TRBV1,116
TRBV2,117
TRBV3-1,118
TRBV4-1,119
TRBV5-1,120
TRBV6-1,121
TRBV7-1,122
TRBV4-2,123
TRBV6-2,124
TRBV3-2,125
TRBV4-3,126
TRBV6-3,127
TRBV7-2,128
TRBV8-1,129
TRBV5-2,130
TRBV6-4,131
TRBV7-3,132
TRBV8-2,133
TRBV5-3,134
TRBV9,135
TRBV10-1,136
TRBV11-1,137
TRBV12-1,138
TRBV10-2,139
TRBV11-2,140
TRBV12-2,141
TRBV6-5,142
TRBV7-4,143
TRBV5-4,144
TRBV6-6,145
TRBV7-5,146
TRBV5-5,147
TRBV6-7,148
TRBV7-6,149
TRBV5-6,150
TRBV6-8,151
TRBV7-7,152
TRBV5-7,153
TRBV6-9,154
TRBV7-8,155
TRBV5-8,156
TRBV7-9,157
TRBV13,158
TRBV10-3,159
TRBV11-3,160
TRBV12-3,161
TRBV12-4,162
TRBV12-5,163
TRBV14,164
TRBV15,165
TRBV16,166
TRBV17,167
TRBV18,168
TRBV19,169
TRBV20-1,170
TRBV21-1,171
TRBV22-1,172
TRBV23-1,173
TRBV24-1,174
TRBV25-1,175
TRBVA,176
TRBV26,177
TRBVB,178
TRBV27,179
TRBV28,180
TRBV29-1,181
TRBJ1-1,182
TRBJ1-2,183
TRBJ1-3,184
TRBJ1-4,185
TRBJ1-5,186
TRBJ1-6,187
TRBJ2-1,188
TRBJ2-2,189
TRBJ2-2P,190
TRBJ2-3,191
TRBJ2-4,192
TRBJ2-5,193
TRBJ2-6,194
TRBJ2-7,195
TRBV30,196
